trip_id,start_idx,end_idx,pickup_lat,pickup_lng,time_elapsed
01ff05c850fb030d8174a48d70a7327747dd0177030bc5cad10f5c9d25b95b33,0,66,31.948,35.892,746.0
0ab47e5efd572c12e0dce7b8767e48b24693a53fa25d996eb141a5152d06b6fb,29,150,32.008,35.789,1179.0
0dab497715edbbc284f661581acafe328db9e162951604a7f1bde127ae01e2b3,117,136,31.837,35.909,261.0
1130381657168e5a73bbf4daee416fff8bcb962080576b6078197ccf43fb1055,12,64,31.962,35.972,524.0
127924c79ac5e5e03143ceb2184fb997a86e4fbc2befcc6f23b0b9f00b3e1e62,61,101,31.997,35.836,260.0
1332e5748746f5519af498d2dcfb0666ae01e532dcb4fde81dd4258433b35319,32,74,31.95,35.872,275.0
16789dc6693f64047e5158f7f7fc4d875c187200554d2de8bbddb1bd9623bf90,61,150,31.983,35.848,588.0
223908890b25a397135f6043f63bcb389858c3bd649377a7cafd9f0229fbbf8f,46,157,31.997,35.836,1010.0
24c4d373f86d4112f953e0b91fc4da4cd7fdf3c3efb440c7bd1ad3fa43e9fb2e,153,196,31.95,35.925,287.0
262b3ad9d43fef3135949f5b1cfbd00a3e1e8bb4ffe0792c383a6245fcf81d36,129,141,32.035,35.888,105.0
28435c3aaeb1b02012bf2cbaa8643deea406cbb533b17d51f9182b903a4d94e1,0,76,31.95,35.884,565.0
2a032c977ebc48317cf18718a0c31fbaffcdadd41dde37962e47613be610aecb,27,35,31.959,35.98,87.0
2a7e3fa3a76f82e05052af1ad1a34bddbc865a7abf1b9d7bca348a11ffeb209f,41,109,31.997,35.836,464.0
320d612ad9d928a6246bb1dae41bbd30a77b339d88c47d6d2157c12d0306944f,10,23,31.957,35.869,110.0
3db2cff3fa84c31eecfcae57e54c52e6c5faf2420bda7d55d5a3ffed6eb5ed0d,29,51,31.957,35.926,151.0
45182c4e0d9fcdb060c0897227ddd73a4dfb3098e7c470614428594779a5c42c,67,126,31.974,35.844,380.0
50dff1446f56c9621cbf8a628bc00a2d929500e16a1081c970d4d973e4e8c0f4,6,48,31.893,35.843,342.0
51f2a59a0117b219b677f390b0fa7a76c2efd45d117e9aa33bd32552e7225a5b,69,91,31.967,35.884,131.0
543009c0c4e25a15f8bbf9e0aca9551e7ecaec351e7a3b9fb516d0590a641595,116,135,32.002,35.936,118.0
6bbb750f7493e5b2775170fff3681e558966c99be8fcfea061b5ff0ea137e083,145,176,31.988,35.88,235.0
6bdf955873a5b9b0a0bdbb582ab63b230b93032cb8300d5a99efa96fcfe1819b,37,157,31.96,35.859,849.0
71628a4aa240d802302ea79a36773d4dcb795446376fb9cdf02cf29c944de0b9,135,142,32.004,35.89,97.0
782e545ace76023cbd4015ff5a9930a4367ced045b5f08d3cea61f7094ee738e,0,127,31.891,35.86,1246.0
78b82e7beccd2c9d31ba1bf07fdeee653c4752924754712534c833c08b89b7ac,144,182,31.965,35.906,589.0
845d052f6c490efea512dfcd143dd2ed383bd2e9a87e5509c1d92ee0a25b27e5,0,68,31.919,35.906,645.0
8c591bbf0e397d965a906216cad7651d8baab5bcd2030ad5446bb506363e2cd3,148,167,32.001,35.891,107.0
9072bebc885a7b361e93237b444bc93d1398110d9c3f87f87cb08f8641aacc43,221,236,31.907,35.931,125.0
94fe54410c6b5fdc27c434f98c8e50c578e03fbcf83b587762f58da926baec85,13,43,31.954,35.884,450.0
9d2f2e473c48f36100c70e4feb4f44619b89f3b01a521664bdc48742ea099002,16,114,31.988,35.867,1286.0
9e4edc121721684b62dd7b51f61c011d648fefceb3b565d3a73c8f0229c6c5f5,48,74,31.98,35.837,408.0
a24dbb93f0a10cf2028ad993932063be9f724b27df7721560189d88a3244e85a,18,194,31.948,35.865,1295.0
a479ed21d1c88372cf7fecfa62b16bf2de6a4f3e7b6c70b4ad07973aaf71df6f,40,137,31.957,35.926,738.0
a55964cf32f9453257981af123754fc33f3b5bb081f63a85edb9311a97f38bd1,33,165,31.974,35.846,1341.0
aab603cbfe3baa0be28d2fa185f58ef81e2ac76979a38c07658895970ff6c05a,0,61,32.003,35.94,513.0
bdb151a0fa98df5a519ca68c61b9659038855810dbfefb8fa96f749a151b494f,0,140,31.949,35.892,1218.0
cb0988944a32760e99dbf53074ec73b854772f8ac0b06497aefff1c79a16c2b4,0,239,32.058,35.892,1939.0
cc8fb282496e96353006c797c2e8d32c969696fae080fd30d0a1d6dd7081e92a,151,166,31.966,35.899,161.0
ceae409710af78b4bfdf75d63b0d7e1fe61cc51b56b1daabd4b9bc41a6dffba8,106,136,31.996,35.838,183.0
d44e65d9f79e73469ee7d561dae67aa318085ce8d24cb7c065ea5884f3953426,37,83,31.995,35.871,282.0
d507421663607fae4d6d3d7210356b03ab36d37b3e53edb01a8ef5252ee2e658,29,164,32.022,35.873,1175.0
db70ec20eb41052b286997933da04d7ae462be4a7a5413e9a116c34da3e465ab,0,101,31.986,35.925,859.0
e0c6399f9c0de628bade9c99d5c2f0b7d3e78081c59ea89e2268f7d8fe845280,6,81,31.93,35.937,519.0
e18a018b2ac2c1ad5dd36a0946b00520243cf726d759d515f3a4dc860d8bcd57,55,181,31.974,35.854,1559.0
e23b2ab622fd3e0aef389a73ff2ed9e860643186dfb6f2016741ce6fca73c585,162,182,31.912,35.934,132.0
ec0286dc18471dfaf418922d48c55f7ec72f1e528954b80fc707705137fb5a21,0,56,31.916,35.91,515.0
f01f5f9ddc73c41afad46682bccac8a38ccfad813cd19c7bacbde98ae8b96cff,0,74,31.994,35.87,741.0
f82b6c7a45db4fd93e76d73881343d2aeeec3fefb876401a4b9380c9ad3cf37d,1,147,31.948,35.892,1052.0
fa6b7eb2ad64f486573baa30ab3c34142698a76df756a5a402513a307d0d957c,46,113,31.954,35.884,596.0
fea906e38c5b48df2a7dcc0571798308dc90dc7e55dea9305e030186c8e5f941,111,157,31.971,35.904,285.0
